ID,Lat,Long,Depth,E1 stand,E2 stand
1,54.510295,-5.44231,-12.43,0.209005629,0.390989288
2,54.51028,-5.44231,-12.43,0.20412758,0.374606175
3,54.5102616,-5.4423083,-12.53,0.196247655,0.379647133
4,54.5102433,-5.442305,-12.43,0.184615385,0.378071834
5,54.5102233,-5.4423,-12.33,0.193621013,0.336483932
6,54.5102033,-5.4422933,-12.43,0.200375235,0.319470699
7,54.5101816,-5.4422866,-12.43,0.204502814,0.308758664
8,54.5101583,-5.4422783,-12.43,0.201125704,0.34089477
9,54.510135,-5.4422683,-12.53,0.219136961,0.359798362
10,54.5101116,-5.4422566,-12.53,0.196247655,0.347511027
11,54.5100866,-5.442245,-12.43,0.222889306,0.36452426
12,54.5100616,-5.4422316,-12.53,0.226266417,0.374291115
13,54.5100366,-5.4422183,-12.53,0.202251407,0.365784499
14,54.5100116,-5.442205,-12.53,0.221013133,0.358853182
15,54.509985,-5.44219,-12.53,0.216885553,0.339634531
16,54.5099583,-5.442175,-12.43,0.221013133,0.353182105
17,54.5099283,-5.44216,-12.43,0.237898687,0.369250158
18,54.5099,-5.442145,-12.53,0.262664165,0.387523629
19,54.5098716,-5.4421283,-12.62,0.271294559,0.3626339
20,54.5098433,-5.4421116,-12.43,0.236772983,0.353812224
21,54.5098133,-5.442095,-12.43,0.233395872,0.357592943
22,54.509785,-5.4420783,-12.53,0.261913696,0.344045369
23,54.509755,-5.44206,-12.53,0.253658537,0.343730309
24,54.509725,-5.4420416,-12.43,0.260037523,0.343100189
25,54.509695,-5.4420266,-12.43,0.288180113,0.360743541
26,54.509665,-5.4420083,-12.43,0.257410882,0.365154379
27,54.509635,-5.44199,-12.43,0.248030019,0.365784499
28,54.509605,-5.4419716,-12.43,0.236022514,0.343415249
29,54.5095733,-5.4419516,-12.33,0.24727955,0.342470069
30,54.5095433,-5.4419333,-12.43,0.279174484,0.335223693
31,54.5095116,-5.441915,-12.43,0.291557223,0.347195967
32,54.5094816,-5.4418966,-12.43,0.251407129,0.344990548
33,54.50945,-5.4418766,-12.33,0.234521576,0.334593573
34,54.50942,-5.4418566,-12.33,0.28217636,0.325141777
35,54.50939,-5.4418366,-12.43,0.251031895,0.365154379
36,54.5093583,-5.4418166,-12.33,0.240900563,0.383427851
37,54.5093266,-5.4417966,-12.33,0.255909944,0.361373661
38,54.5092966,-5.4417766,-12.24,0.266791745,0.31821046
39,54.509265,-5.4417533,-12.24,0.272045028,0.308128544
40,54.5092366,-5.44173,-12.33,0.266791745,0.332073094
41,54.5092116,-5.441695,-12.33,0.252908068,0.348456207
42,54.5091816,-5.44167,-12.33,0.236022514,0.350031506
43,54.509155,-5.4416399,-12.24,0.251782364,0.315689981
44,54.5091316,-5.4415933,-12.24,0.270919325,0.321676118
45,54.509105,-5.44156,-12.24,0.245403377,0.325771897
46,54.5090766,-5.44153,-12.33,0.262664165,0.327032136
47,54.5090466,-5.44151,-12.24,0.269418386,0.312224323
48,54.5090283,-5.4414433,-12.33,0.257786116,0.325456837
49,54.508995,-5.441425,-12.14,0.261913696,0.358538122
50,54.5089616,-5.4414049,-12.14,0.28217636,0.313169502
51,54.5089283,-5.4413866,-12.14,0.285178236,0.324826717
52,54.5088933,-5.44137,-12.24,0.280675422,0.369565217
53,54.5088566,-5.4413533,-12.14,0.256660413,0.358538122
54,54.5088233,-5.4413349,-12.14,0.245778612,0.326086957
55,54.5087933,-5.44131,-12.14,0.255159475,0.34026465
56,54.508765,-5.4412766,-12.04,0.257410882,0.346250788
57,54.5087416,-5.4412333,-12.14,0.263414634,0.350346566
58,54.5087183,-5.4411916,-12.14,0.254409006,0.373660996
59,54.50869,-5.4411616,-12.04,0.269793621,0.334908633
60,54.5086616,-5.4411333,-12.04,0.25478424,0.332073094
61,54.5086333,-5.441105,-12.04,0.255159475,0.313484562
62,54.508605,-5.44108,-12.04,0.251782364,0.336483932
63,54.508575,-5.4410566,-12.04,0.253658537,0.360428481
64,54.5085433,-5.441035,-11.95,0.263414634,0.330182735
65,54.5085116,-5.441015,-11.95,0.246904315,0.305293006
66,54.50848,-5.4409966,-11.95,0.246529081,0.283868935
67,54.5084483,-5.4409766,-11.95,0.252532833,0.31821046
68,54.5084166,-5.4409616,-11.95,0.260412758,0.320730939
69,54.508385,-5.4409433,-11.95,0.238649156,0.322621298
70,54.5083533,-5.4409266,-11.85,0.236397749,0.351291745
71,54.5083233,-5.44091,-11.85,0.257035647,0.31726528
72,54.5082916,-5.4408933,-11.76,0.273921201,0.348456207
73,54.50826,-5.4408766,-11.85,0.267542214,0.34057971
74,54.5082283,-5.4408633,-11.85,0.234896811,0.297101449
75,54.508195,-5.4408483,-11.85,0.232645403,0.284499055
76,54.5081633,-5.440835,-11.76,0.248405253,0.288909893
77,54.5081316,-5.44082,-11.76,0.237148218,0.316005041
78,54.5081,-5.440805,-11.76,0.21988743,0.323881537
79,54.5080666,-5.4407916,-11.66,0.232270169,0.31726528
80,54.5080333,-5.4407766,-11.76,0.258536585,0.321361059
